Year,Zone,Sub Region,District,Division 1 - Boys,Division 1 - Girls,Division 1 - Total,Division 2 - Boys,Division 2 - Girls,Division 2 - Total,Division 3 - Boys,Division 3 - Girls,Division 3 - Total,Division 4 - Boys,Division 4 - Girls,Division 4 - Total,Division U - Boys,Division U - Girls,Division U - Total,Division X - Boys,Division X - Girls,Division X - Total,Registered - Boys,Registered - Girls,Registered - Total,Sat - Boys,Sat - Girls,Sat - Total,Passed - Boys,Passed - Girls,Passed - Total,Pass Rate - Boys,Pass Rate - Girls,Pass Rate - Total,Pass Division 1_2_3 Boys,Pass Division 1_2_3 Girls,Pass Division 1_2_3 Total,Pass Rate Division 1_2_3 Boys,Pass Rate Division 1_2_3 Girls,Pass Rate Division 1_2_3 Total,Pass Rate Division 1 Boys,Pass Rate Division 1 Girls,Pass Rate Division 1 Total,Failure Rate -  Boys,Failure Rate - Girls,Failure Rate - Total,Abseentism Rate - Boys,Abseentism Rate - Girls,Abseentism Rate - Total
2022,Other,South Buganda,Masaka,1548,1572,3120,1879,2313,4192,420,590,1010,271,383,654,187,250,437,104,111,215,4409,5219,9628,4305,5108,9413,4118,4858,8976,0.0,0.0,0.0,3847,4475,8322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Bunyoro,Masindi,416,303,719,1405,1608,3013,463,561,1024,266,376,642,215,260,475,49,46,95,2814,3154,5968,2765,3108,5873,2550,2848,5398,0.0,0.0,0.0,2284,2472,4756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Busoga,Mayuge,366,216,582,1958,1966,3924,988,1089,2077,872,965,1837,978,1133,2111,193,222,415,5355,5591,10946,5162,5369,10531,4184,4236,8420,0.0,0.0,0.0,3312,3271,6583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Elgon,Mbale,730,613,1343,2494,2904,5398,1201,1541,2742,771,1174,1945,856,996,1852,123,160,283,6175,7388,13563,6052,7228,13280,5196,6232,11428,0.0,0.0,0.0,4425,5058,9483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Ankole,Mbarara,1947,1689,3636,2034,2821,4855,267,399,666,102,133,235,47,51,98,80,87,167,4477,5180,9657,4397,5093,9490,4350,5042,9392,0.0,0.0,0.0,4248,4909,9157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Ankole,Mitooma,701,727,1428,1045,1370,2415,188,300,488,78,119,197,35,46,81,52,43,95,2099,2605,4704,2047,2562,4609,2012,2516,4528,0.0,0.0,0.0,1934,2397,4331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,North Buganda,Mityana,816,800,1616,2184,2656,4840,588,845,1433,444,555,999,408,450,858,154,157,311,4594,5463,10057,4440,5306,9746,4032,4856,8888,0.0,0.0,0.0,3588,4301,7889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,MZO,Karamoja,Nakapiripirit,26,6,32,193,102,295,63,53,116,36,26,62,15,17,32,13,4,17,346,208,554,333,204,537,318,187,505,0.0,0.0,0.0,282,161,443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,West Nile,Moyo,38,16,54,410,363,773,292,299,591,118,144,262,95,120,215,7,9,16,960,951,1911,953,942,1895,858,822,1680,0.0,0.0,0.0,740,678,1418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,South Buganda,Mpigi,831,774,1605,2412,2923,5335,582,710,1292,335,396,731,211,208,419,118,113,231,4489,5124,9613,4371,5011,9382,4160,4803,8963,0.0,0.0,0.0,3825,4407,8232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,FZO,North Buganda,Mubende,421,353,774,1445,1629,3074,608,751,1359,385,542,927,434,607,1041,124,151,275,3417,4033,7450,3293,3882,7175,2859,3275,6134,0.0,0.0,0.0,2474,2733,5207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,KMD,North Buganda,Mukono,2973,3045,6018,4834,6092,10926,1173,1683,2856,689,1076,1765,564,707,1271,257,287,544,10490,12890,23380,10233,12603,22836,9669,11896,21565,0.0,0.0,0.0,8980,10820,19800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
